"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32"
"5350000.00",5.70,2262470.00,2108.00,1112000.00,1618.00,2262470.00,883125.00,164580.00,210100.00,90500.00,215325.00,694735.00,2.70,5179125.00,97000.00,788935.00,4390200.00,305485.00,3135355.00,1289080.00,3152775.00,1185165.00,1967605.00,1273260.00,126965.00,50290.00,459630.00,57465.00,56.10,13.30,3347860.00,3232775.00
"5350001.00",5.60,245.00,2100.00,1160000.00,1950.00,235.00,15.00,85.00,85.00,5.00,40.00,0.00,2.60,495.00,137000.00,60.00,420.00,30.00,390.00,70.00,360.00,100.00,260.00,195.00,0.00,0.00,55.00,10.00,78.10,7.30,405.00,405.00
"5350002.00",5.50,285.00,860.00,484000.00,1500.00,285.00,250.00,25.00,0.00,5.00,10.00,0.00,2.10,540.00,85000.00,60.00,500.00,20.00,235.00,125.00,385.00,140.00,245.00,115.00,10.00,0.00,120.00,0.00,43.80,14.00,285.00,285.00
"5350003.00",3.70,270.00,1940.00,670000.00,1960.00,265.00,0.00,0.00,0.00,0.00,0.00,265.00,1.70,405.00,89000.00,35.00,425.00,20.00,355.00,70.00,355.00,105.00,245.00,150.00,10.00,0.00,70.00,15.00,72.50,7.00,355.00,340.00
"5350004.00",3.10,3270.00,2160.00,1420000.00,1225.00,3275.00,70.00,55.00,10.00,95.00,1260.00,1790.00,1.80,5370.00,50000.00,1020.00,4310.00,665.00,3475.00,1525.00,2885.00,1270.00,1615.00,1150.00,75.00,0.00,330.00,60.00,54.30,19.20,3580.00,3470.00
"5350005.00",3.40,3720.00,2320.00,816000.00,1380.00,3720.00,40.00,40.00,310.00,25.00,875.00,2420.00,1.80,6130.00,66000.00,985.00,5140.00,440.00,4235.00,1490.00,3705.00,1230.00,2475.00,1675.00,145.00,40.00,560.00,55.00,58.50,14.70,4200.00,4065.00
"5350006.00",,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,,,,,,,,,,,,
"5350007.01",3.40,1720.00,2440.00,1370000.00,1269.00,1650.00,60.00,55.00,15.00,60.00,475.00,985.00,1.80,2735.00,57200.00,380.00,2460.00,260.00,1935.00,650.00,1845.00,735.00,1115.00,720.00,55.00,10.00,285.00,40.00,59.20,15.30,1990.00,1945.00
"5350007.02",3.00,2305.00,1950.00,1200000.00,1294.00,2370.00,35.00,10.00,5.00,15.00,490.00,1820.00,1.80,3935.00,53600.00,525.00,3305.00,310.00,2650.00,1025.00,2320.00,1030.00,1295.00,910.00,45.00,15.00,300.00,35.00,55.10,21.30,2680.00,2530.00
"5350008.01",3.10,5390.00,2354.00,731000.00,2130.00,5470.00,0.00,0.00,165.00,0.00,290.00,5020.00,1.60,8080.00,97000.00,150.00,7840.00,80.00,7200.00,890.00,6955.00,1350.00,5605.00,3910.00,240.00,55.00,1280.00,125.00,83.80,7.30,7230.00,7150.00
"5350008.02",3.20,7020.00,2362.00,738000.00,1922.00,7020.00,5.00,0.00,25.00,0.00,115.00,6875.00,1.60,10720.00,90000.00,440.00,10285.00,255.00,9050.00,1305.00,9060.00,2155.00,6905.00,4415.00,305.00,110.00,1895.00,185.00,75.80,9.60,8995.00,8880.00
"5350009.00",3.30,180.00,,,1070.00,170.00,0.00,0.00,0.00,0.00,0.00,170.00,1.70,275.00,45200.00,40.00,225.00,30.00,175.00,80.00,150.00,70.00,80.00,70.00,0.00,0.00,10.00,0.00,46.20,20.00,150.00,140.00
"5350010.01",3.70,3255.00,2338.00,906000.00,1984.00,3185.00,15.00,35.00,290.00,195.00,620.00,2035.00,1.70,5035.00,110000.00,285.00,4855.00,110.00,4330.00,650.00,4220.00,830.00,3395.00,2315.00,160.00,35.00,785.00,90.00,77.60,6.70,4280.00,4230.00
"5350010.02",3.70,4260.00,2086.00,875000.00,1816.00,4265.00,25.00,80.00,350.00,105.00,665.00,2990.00,1.70,6645.00,97000.00,465.00,6180.00,230.00,5335.00,1055.00,5180.00,1155.00,4025.00,2700.00,225.00,65.00,965.00,75.00,75.40,7.90,5435.00,5350.00
"5350011.01",3.10,6385.00,2648.00,910000.00,2174.00,6380.00,0.00,55.00,60.00,25.00,270.00,5955.00,1.50,9030.00,97000.00,265.00,8765.00,200.00,7715.00,960.00,7855.00,1165.00,6690.00,4350.00,390.00,115.00,1685.00,150.00,82.20,6.70,7960.00,7885.00
